symbol,code,name,sector[wstock : cn : daily]
SZ000968,000968,MQH-煤气化,--
SZ000969,000969,ATKJ-安泰科技,--
SZ000970,000970,ZKSH-中科三环,--
SZ000971,000971,LDKG-蓝鼎控股,--
SZ000972,000972,XZJ-新中基,--
SZ000973,000973,FSKJ-佛塑科技,--
SZ000975,000975,YTZY-银泰资源,--
SZ000976,000976,CZGF-春晖股份,--
SZ000977,000977,LCXX-浪潮信息,--
SZ000978,000978,GLLY-桂林旅游,--
SZ000979,000979,ZHGF-中弘股份,--
SZ000980,000980,JMGF-金马股份,--
SZ000981,000981,YYGF-银亿股份,--
SZ000982,000982,ZYRY-中银绒业,--
SZ000983,000983,XSMD-西山煤电,--
SZ000985,000985,DQHK-大庆华科,--
SZ000987,000987,GZYY-广州友谊,--
SZ000988,000988,HGKJ-华工科技,--
SZ000989,000989,JZT-九芝堂,--
SZ000990,000990,CZGF-诚志股份,--
SZ000993,000993,MDDL-闽东电力,--
SZ000995,000995,HTJY-皇台酒业,--
SZ000996,000996,ZGZQ-中国中期,--
SZ000997,000997,XDL-新大陆,--
SZ000998,000998,LPGK-隆平高科,--
SZ000999,000999,HRSJ-华润三九,--
SZ001696,001696,ZSDL-宗申动力,--
SZ001896,001896,YNKG-豫能控股,--
SZ002001,002001,XHC-新和成,--
SZ002002,002002,HDXY-鸿达兴业,--
SZ002003,002003,WXGF-伟星股份,--
SZ002004,002004,HBYT-华邦颖泰,--
SZ002005,002005,DHRD-德豪润达,--
SZ002006,002006,*STJG-*ST精功,--
SZ002007,002007,HLSW-华兰生物,--
SZ002008,002008,DZJG-大族激光,--
SZ002009,002009,TQGF-天奇股份,--
SZ002010,002010,CHGF-传化股份,--
SZ002011,002011,DAHJ-盾安环境,--
SZ002012,002012,KEGF-凯恩股份,--
SZ002013,002013,ZHJD-中航机电,--
SZ002014,002014,YXGF-永新股份,--
SZ002016,002016,SRZY-世荣兆业,--
SZ002017,002017,DXHP-东信和平,--
SZ002018,002018,HXHG-华星化工,--
SZ002019,002019,YFZF-亿帆鑫富,--
SZ002020,002020,JXYY-京新药业,--
SZ002021,002021,ZJGF-中捷股份,--
SZ002022,002022,KHSW-科华生物,--
SZ002023,002023,HTGX-海特高新,--
SZ002024,002024,SNYS-苏宁云商,--
SZ002025,002025,HTDQ-航天电器,--
SZ002026,002026,SDWD-山东威达,--
SZ002027,002027,QXKG-七喜控股,--
SZ002028,002028,SYDQ-思源电气,--
SZ002029,002029,QPL-七匹狼,--
SZ002030,002030,DAJY-达安基因,--
SZ002031,002031,JLGF-巨轮股份,--
SZ002032,002032,SBE-苏泊尔,--
SZ002033,002033,LJLY-丽江旅游,--
SZ002034,002034,MXD-美欣达,--
SZ002035,002035,HDGF-华帝股份,--
SZ002036,002036,YKKJ-宜科科技,--
SZ002037,002037,JLFZ-久联发展,--
SZ002038,002038,SZYY-双鹭药业,--
SZ002039,002039,QYDL-黔源电力,--
SZ002040,002040,NJG-南京港,--
SZ002041,002041,DHZY-登海种业,--
SZ002042,002042,HZSF-华孚色纺,--
SZ002043,002043,TBB-兔宝宝,--
SZ002044,002044,JSSY-江苏三友,--
SZ002045,002045,GGDQ-国光电器,--
SZ002046,002046,ZYKJ-轴研科技,--
SZ002047,002047,BYGF-宝鹰股份,--
SZ002048,002048,NBHX-宁波华翔,--
SZ002049,002049,TFGX-同方国芯,--
SZ002050,002050,SHGF-三花股份,--
SZ002051,002051,ZGGJ-中工国际,--
SZ002052,002052,TZDZ-同洲电子,--
SZ002053,002053,YNYH-云南盐化,--
SZ002054,002054,DMHG-德美化工,--
SZ002055,002055,DRDZ-得润电子,--
SZ002056,002056,HDDC-横店东磁,--
SZ002057,002057,ZGTY-中钢天源,--
SZ002058,002058,WET-威尔泰,--
SZ002059,002059,YNLY-云南旅游,--
SZ002060,002060,YSD-粤水电,--
SZ002061,002061,JSHG-江山化工,--
SZ002062,002062,HRJS-宏润建设,--
SZ002063,002063,YGRJ-远光软件,--
SZ002064,002064,HFAL-华峰氨纶,--
SZ002065,002065,DHRJ-东华软件,--
SZ002066,002066,RTKJ-瑞泰科技,--
SZ002067,002067,JXZY-景兴纸业,--
SZ002068,002068,HMGF-黑猫股份,--
SZ002069,002069,ZZD-獐子岛,--
SZ002070,002070,ZHGF-众和股份,--
SZ002071,002071,CCYS-长城影视,--
SZ002072,002072,KRD-凯瑞德,--
SZ002073,002073,RKGF-软控股份,--
SZ002074,002074,DYDQ-东源电器,--
SZ002075,002075,SGGF-沙钢股份,--
SZ002076,002076,XLT-雪莱特,--
SZ002077,002077,DGGF-大港股份,--
SZ002078,002078,TYZY-太阳纸业,--
SZ002079,002079,SZGZ-苏州固锝,--
SZ002080,002080,ZCKJ-中材科技,--
SZ002081,002081,JZZ-金螳螂,--
SZ002082,002082,DLXC-栋梁新材,--
