symbol,code,name,sector[shareinvestor : sg : daily]
5NV.SI,5NV,Chasen Holdings Limited,Commercial Services and Supplies,Commercial and Professional Services
5OC.SI,5OC,Koyo International Limited,Construction and Engineering,Capital Goods
5OI.SI,5OI,Japan Foods Holding Ltd.,Hotels | Restaurants and Leisure,Consumer Services
5OQ.SI,5OQ,TEHO International Inc Ltd.,Trading Companies and Distributors,Capital Goods
5OR.SI,5OR,Heatec Jietong Holdings Ltd.,Energy Equipment and Services,Energy
5OS.SI,5OS,Jubilee Industries Holdings Ltd.,Machinery,Capital Goods
5OT.SI,5OT,Singapore Medical Group Limited,Healthcare Providers and Services,Healthcare Equipment and Services
5OU.SI,5OU,China Environment Ltd.,Machinery,Capital Goods
5OX.SI,5OX,Mary Chia Holdings Limited,Diversified Consumer Services,Consumer Services
5PC.SI,5PC,Goodland Group Limited,Real Estate Management and Development,Real Estate
5PD.SI,5PD,Hengyang Petrochemical Logistics Limited,Oil | Gas and Consumable Fuels,Energy
5PF.SI,5PF,Jason Marine Group Limited,Marine,Transportation
5PI.SI,5PI,Plato Capital Limited,IT Services,Software and Services
5PL.SI,5PL,SBI Offshore Limited,Trading Companies and Distributors,Capital Goods
5PO.SI,5PO,Hiap Tong Corporation Ltd.,Trading Companies and Distributors,Capital Goods
5QR.SI,5QR,MSM International Limited,Machinery,Capital Goods
5QT.SI,5QT,Charisma Energy Services Limited,Construction and Engineering,Capital Goods
5QY.SI,5QY,Net Pacific Financial Holdings Limited,Thrifts and Mortgage Finance,Banks
5RA.SI,5RA,Asia-Pacific Strategic Investments Limited,Diversified Consumer Services,Consumer Services
5RC.SI,5RC,ES Group (Holdings) Limited,Machinery,Capital Goods
5RE.SI,5RE,Smartflex Holdings Ltd.,Semiconductors and Semiconductor Equipment,Semiconductors and Semiconductor Equipment
5RF.SI,5RF,Mercurius Capital Investment Limited,Textiles | Apparel and Luxury Goods,Consumer Durables and Apparel
5RJ.SI,5RJ,WE Holdings Ltd.,Electronic Equipment | Instruments and Components,Technology Hardware and Equipment
5SO.SI,5SO,Duty Free International Limited,Specialty Retail,Retailing
5SR.SI,5SR,Zhongmin Baihui Retail Group Ltd.,Multiline Retail,Retailing
5SY.SI,5SY,Chew's Group Limited,Food Products,Food | Beverage and Tobacco
5TG.SI,5TG,800 Super Holdings Limited,Commercial Services and Supplies,Commercial and Professional Services
5TI.SI,5TI,Kitchen Culture Holdings Ltd.,Distributors,Retailing
5TJ.SI,5TJ,Far East Group Limited,Trading Companies and Distributors,Capital Goods
5TN.SI,5TN,IEV Holdings Limited,Energy Equipment and Services,Energy
5TP.SI,5TP,CNMC Goldmine Holdings Limited,Metals and Mining,Materials
5TR.SI,5TR,Libra Group Limited,Construction and Engineering,Capital Goods
5TS.SI,5TS,Alpha Energy Holdings Limited,Oil | Gas and Consumable Fuels,Energy
5TT.SI,5TT,Keong Hong Holdings Limited,Construction and Engineering,Capital Goods
5TW.SI,5TW,ChasWood Resources Holdings Ltd.,Hotels | Restaurants and Leisure,Consumer Services
5TY.SI,5TY,Advanced Systems Automation Limited,Semiconductors and Semiconductor Equipment,Semiconductors and Semiconductor Equipment
5UA.SI,5UA,Starland Holdings Limited,Real Estate Management and Development,Real Estate
5UE.SI,5UE,SHC Capital Asia Limited,Insurance,Insurance
5UF.SI,5UF,Maxi-Cash Financial Services Corporation Ltd.,Consumer Finance,Diversified Financials
5UJ.SI,5UJ,Neo Group Limited,Commercial Services and Supplies,Commercial and Professional Services
5UL.SI,5UL,Atlantic Navigation Holdings (Singapore) Limited,Energy Equipment and Services,Energy
5UN.SI,5UN,Sincap Group Limited,Trading Companies and Distributors,Capital Goods
5UO.SI,5UO,Sysma Holdings Limited,Construction and Engineering,Capital Goods
5UV.SI,5UV,P99 Holdings Limited,Hotels | Restaurants and Leisure,Consumer Services
5UX.SI,5UX,Oxley Holdings Limited,Real Estate Management and Development,Real Estate
5UZ.SI,5UZ,DeClout Limited,IT Services,Software and Services
5VC.SI,5VC,Kori Holdings Limited,Construction and Engineering,Capital Goods
5VI.SI,5VI,Logistics Holdings Limited,Construction and Engineering,Capital Goods
5VJ.SI,5VJ,Halcyon Agri Corporation Limited,Commercial Services and Supplies,Commercial and Professional Services
5VP.SI,5VP,GDS Global Limited,Building Products,Capital Goods
5VS.SI,5VS,Hafary Holdings Ltd,Trading Companies and Distributors,Capital Goods
5VU.SI,5VU,Elektromotive Group Limited,Electrical Equipment,Capital Goods
5WA.SI,5WA,International Healthway Corporation Limited,Healthcare Providers and Services,Healthcare Equipment and Services
5WD.SI,5WD,PS Group Holdings Ltd.,Trading Companies and Distributors,Capital Goods
5WE.SI,5WE,Moya Holdings Asia Limited,Commercial Services and Supplies,Commercial and Professional Services
5WF.SI,5WF,ISOTeam Ltd.,Construction and Engineering,Capital Goods
5WG.SI,5WG,Singapore Kitchen Equipment Limited,Machinery,Capital Goods
5WH.SI,5WH,REX International Holding Limited,Oil | Gas and Consumable Fuels,Energy
5WJ.SI,5WJ,MoneyMax Financial Services Ltd.,Specialty Retail,Retailing
5WV.SI,5WV,AsiaPhos Limited,Metals and Mining,Materials
600.SI,600,Hyflux Ltd,Water Utilities,Utilities
A04.SI,A04,ASL Marine Holdings Ltd.,Machinery,Capital Goods
A13.SI,A13,Allied Technologies Limited,Machinery,Capital Goods
A17U.SI,A17U,Ascendas Real Estate Investment Trust,Equity Real Estate Investment Trusts (REITs),Real Estate
A23.SI,A23,Auric Pacific Group Limited,Food and Staples Retailing,Food and Staples Retailing
A26.SI,A26,Sinarmas Land Limited,Real Estate Management and Development,Real Estate
A27.SI,A27,mDR LIMITED,Electronic Equipment | Instruments and Components,Technology Hardware and Equipment
A30.SI,A30,Aspial Corporation Limited,Real Estate Management and Development,Real Estate
A31.SI,A31,Addvalue Technologies Ltd,Communications Equipment,Technology Hardware and Equipment
A33.SI,A33,Blumont Group Ltd.,Commercial Services and Supplies,Commercial and Professional Services
A34.SI,A34,Amara Holdings Limited,Hotels | Restaurants and Leisure,Consumer Services
A50.SI,A50,Rowsley Ltd.,Professional Services,Commercial and Professional Services
A52.SI,A52,AnnAik Limited,Metals and Mining,Materials
A55.SI,A55,Asia Enterprises Holding Limited,Trading Companies and Distributors,Capital Goods
A68U.SI,A68U,Ascott Residence Trust,Equity Real Estate Investment Trusts (REITs),Real Estate
A75.SI,A75,Ace Achieve Infocom Limited,Wireless Telecommunication Services,Telecommunication Services
A78.SI,A78,LionGold Corp Ltd,Metals and Mining,Materials
A7RU.SI,A7RU,Keppel Infrastructure Trust,Multi-Utilities,Utilities
A7S.SI,A7S,SunVic Chemical Holdings Limited,Chemicals,Materials
AAJ.SI,AAJ,Sunmoon Food Company Limited,Food Products,Food | Beverage and Tobacco
ACV.SI,ACV,Frasers Hospitality Trust,Equity Real Estate Investment Trusts (REITs),Real Estate
ACW.SI,ACW,CWG International Ltd.,Real Estate Management and Development,Real Estate
ADJ.SI,ADJ,OLS Enterprise Ltd.,Personal Products,Household and Personal Products
ADN.SI,ADN,First Sponsor Group Limited,Real Estate Management and Development,Real Estate
ADP.SI,ADP,Swissco Holdings Limited,Energy Equipment and Services,Energy
ADQU.SI,ADQU,Accordia Golf Trust,Hotels | Restaurants and Leisure,Consumer Services
