40A.SI,40A,IPS Securex,--
40B.SI,40B,SMJ Intl,--
40D.SI,40D,Starburst,--
40E.SI,40E,Spackman,--
40F.SI,40F,Alliance Mineral,--
40I.SI,40I,Terratech,--
40N.SI,40N,Versalink,--
40R.SI,40R,Serrano,--
40S.SI,40S,Perennial Hldgs,--
40T.SI,40T,ISEC,--
40U.SI,40U,MS Hldgs,--
40V.SI,40V,Singapore-eDev,--
40W.SI,40W,ZICO Hldgs,--
41A.SI,41A,UG Healthcare,--
41B.SI,41B,Huationg Global,--
41C.SI,41C,MM2 Asia,--
P52.SI,P52,PanUnited,--
P74.SI,P74,ChinaKangdaFood,--
P7VU.SI,P7VU,HPH Trust SGD,--
P82.SI,P82,Plastoform,--
P8A.SI,P8A,Cordlife,--
P8Z.SI,P8Z,Bumitama Agri,--
P9D.SI,P9D,Civmec,--
P9J.SI,P9J,GP Hotels,--
PA3.SI,PA3,TA,--
PH0.SI,PH0,VGO,--
Q01.SI,Q01,QAF,--
Q0F.SI,Q0F,IHH,--
Q0W.SI,Q0W,JB Foods,--
Q0X.SI,Q0X,Ley Choon,--
Q1P.SI,Q1P,Ascendas-hTrust,--
Q5T.SI,Q5T,Far East HTrust,--
Q7W.SI,Q7W,LantroVision,--
QC7.SI,QC7,Q&amp;M Dental,--
QF6.SI,QF6,Swee Hong,--
QG1.SI,QG1,Metech Intl,--
QS9.SI,QS9,G Invacom,--
R01.SI,R01,Raffles Medical,--
R07.SI,R07,Rotary Engg,--
R14.SI,R14,Ramba Energy,--
R8P.SI,R8P,Yangi EURO S,--
RC5.SI,RC5,Triyards,--
RE2.SI,RE2,Courts Asia,--
RE4.SI,RE4,Geo Energy Res,--
RF1U.SI,RF1U,Religare HTrust,--
RF7.SI,RF7,Gaylin,--
RQ1.SI,RQ1,Overseas Edu,--
RS1.SI,RS1,China Env Res,--
