date,transaction,volume,amount,pe,market value,negotiable value,exchange rate
2013-01-31,564.2064,1403906.8046,1166.22513071,12.974,167496.8497658853,141386.6812581987,0.7144
2013-02-01,565.6973,1410899.3444,1258.06733302,13.16,169855.9985750728,143353.4871398005,0.7184
2013-02-04,659.6479,1682493.9807,1528.30908366,13.218,170590.6120207684,143780.3306618126,0.8548
2013-02-05,590.4536,1517070.9548,1276.56637675,13.245,170953.3429630456,144105.2552811927,0.7703
2013-02-06,481.6185,1176385.6708,1051.63665962,13.252,171048.0236582268,144167.2931783831,0.597
2013-02-07,488.0444,1203325.6023,1095.6244889,13.162,169927.5536296775,143240.64247766,0.6125
2013-02-08,441.7694,1091110.0639,989.88163242,13.243,170966.0790125,144187.2655549974,0.5556
2013-02-18,533.6774,1168526.1619,1040.34240567,13.182,170203.5397506604,143765.1392641987,0.5909
2013-02-19,571.5946,1237295.2943,1064.65365575,12.97,167487.3845028379,141497.7683411084,0.6276
2013-02-20,480.4958,1106860.1174,974.96389581,13.066,168489.9313049479,142376.1521474028,0.5612
2013-02-21,666.9061,1454634.1595,1274.33907141,12.678,163500.542632497,138175.7120669395,0.732
2013-02-22,453.1193,971383.3124,876.59573306,12.612,162671.9689131407,137493.0134866357,0.4926
2013-02-25,408.115,897011.167,786.93237631,12.677,163509.7074650293,138359.3087674877,0.4509
2013-02-26,560.806,1181649.1934,1065.72663674,12.5,161226.4017390672,136784.6681680195,0.5977
2013-02-27,448.0851,985525.8164,895.14057575,12.609,162623.9816272797,137922.4433525019,0.4984
2013-02-28,557.2907,1281685.2546,1169.77604967,12.896,166305.8870803789,140961.9137744234,0.6465
2013-03-01,553.797,1210500.4483,1119.21206713,12.861,165877.9751527031,140645.9303626004,0.6094
2013-03-04,724.4806,1621400.1819,1432.80151818,12.391,159810.2952752328,135564.992895501,0.82
2013-03-05,556.8424,1323925.8466,1175.51476005,12.68,163542.8935400456,138558.7260409147,0.6691
2013-03-06,612.3856,1419514.5001,1256.49778176,12.793,165010.3093048367,139948.6625074578,0.7167
2013-03-07,632.4853,1401633.5966,1263.34525406,12.664,163401.3573499255,138695.3513963653,0.7087
2013-03-08,449.6159,994919.0482,889.01991296,12.634,163001.8891540719,138363.7054391825,0.5025
2013-03-11,393.1402,845372.4442,743.02398382,12.589,162437.0746083016,137866.6064904836,0.4269
2013-03-12,553.8836,1187714.6588,1012.28256828,12.459,160750.7071983837,136557.711420486,0.5996
2013-03-13,435.372,912922.1783,778.49850507,12.334,159146.6039351907,135191.6234253381,0.4613
2013-03-14,377.5135,826748.1434,706.71621025,12.369,159585.1491095371,135431.4071465488,0.4179
2013-03-15,503.5385,1168577.2761,1017.83720708,12.414,160174.0056569999,135954.8697689333,0.5907
2013-03-18,442.1681,938908.459,818.49975383,12.205,157475.5677635574,133664.5235811954,0.4712
2013-03-19,407.4118,881688.081,759.1099438,12.3,158676.5386223711,134698.1058307922,0.4443
2013-03-20,563.2206,1320491.1225,1143.4719699,12.629,162912.4768819535,138199.771342515,0.6646
2013-03-21,533.1887,1198017.344,1051.9422767,12.667,163415.3596882453,138687.7332728645,0.6036
2013-03-22,445.2406,1016245.1769,861.71692271,12.689,163721.2837155538,138942.4560783833,0.513
2013-03-25,443.1358,981712.1374,860.88405795,12.68,163618.8849889067,138823.9152598543,0.4933
2013-03-26,488.2399,1058943.3319,923.96872376,12.521,161576.5046493474,137151.4799469273,0.5321
2013-03-27,439.4173,971206.2159,860.77100516,12.541,161837.627172772,137448.8261338524,0.4877
2013-03-28,541.9171,1279807.4612,1077.48169843,12.188,157279.3930452806,133699.4749965947,0.6454
2013-03-29,377.9529,858400.3399,736.228681,12.192,157311.6812313923,133727.4781989567,0.4332
